workload,step,sample,W,I,O,D,total,beta_W,beta_I,beta_O,beta_D,t_start,t_close,c,n_scenarios,sampling_method,seed,is_k,n_prime
4,1,in,72.0175982365471,70.86388959757426,42.336526852760606,0.0,185.218014686882,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
4,1,out,64.83341826554373,69.89540944137217,41.3801267744928,0.0,176.1089544814087,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
4,2,in,51.817956268855845,56.28436409806054,34.090702838027305,0.0,142.1930232049437,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
4,2,out,60.4616708555992,57.079293288996055,34.350933541903096,0.0,151.89189768649834,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
4,3,in,52.08372722800424,56.13704009214686,32.59754607251434,0.0,140.81831339266546,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
4,3,out,58.47186113174732,56.38024862676141,32.665956579159435,0.0,147.51806633766816,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,1,in,77.74537583729119,68.76318668286076,48.06019577641799,200.0,394.56875829657,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,1,out,83.79963337264378,69.14393195495323,48.305246578617485,200.0,401.2488119062145,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,2,in,64.99205165632034,55.736931880325415,38.20937361368511,200.0,358.93835715033083,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,2,out,82.71774493310521,57.93596657635532,40.62107142598907,200.0,381.2747829354496,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,3,in,64.99205165632034,55.736931880325415,38.20937361368511,200.0,358.93835715033083,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
7,3,out,82.71774493310521,57.93596657635532,40.62107142598907,200.0,381.2747829354496,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,1,in,66.9485459130887,54.69336229247168,35.47548254747184,0.0,157.11739075303225,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,1,out,76.64674669881295,56.068266203582894,37.03276697674496,0.0,169.7477798791408,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,2,in,56.73527321764486,45.60253909590628,27.987058364904257,0.0,130.3248706784554,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,2,out,72.61651035876152,47.91370271305134,30.90033138027348,0.0,151.43054445208634,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,3,in,56.73527321764486,45.60253909590628,27.987058364904257,0.0,130.3248706784554,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
10,3,out,72.61651035876152,47.91370271305134,30.90033138027348,0.0,151.43054445208634,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,1,in,61.18771089263406,60.40736352498816,30.400863135826388,200.0,351.9959375534486,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,1,out,63.7677042805408,60.64324812058526,30.966862225464254,200.0,355.3778146265903,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,2,in,54.317677483722996,51.26410662808678,23.45227323074545,200.0,329.03405734255523,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,2,out,69.73696647476348,52.920886073180895,25.24698895248664,200.0,347.904841500431,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,3,in,54.317677483722996,51.26410662808678,23.45227323074545,200.0,329.03405734255523,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
13,3,out,69.73696647476348,52.920886073180895,25.24698895248664,200.0,347.904841500431,0.6,0.2,0.2,100.0,480,960,10,20,lhs,42,0.5,10000
