method,N,replication,obj_out_of_sample
random,1,0,367.74534218520375
random,1,1,341.61519054378084
random,1,2,422.19237201478586
random,1,3,310.17032981031787
random,1,4,304.3190072128065
random,1,5,292.2442205399246
random,1,6,445.0631544376344
random,1,7,397.3167690620679
random,1,8,501.6678092097667
random,1,9,335.26497071749014
random,4,0,192.65449160622657
random,4,1,219.0540340387427
random,4,2,209.83993231521964
random,4,3,225.6057493011738
random,4,4,237.85493662990172
random,4,5,221.9002124919168
random,4,6,215.10779175418625
random,4,7,230.08774801976503
random,4,8,203.8212647004345
random,4,9,184.174580717575
random,7,0,188.92699751472082
random,7,1,186.51258670324984
random,7,2,191.62085230929927
random,7,3,197.8599462955522
random,7,4,174.15877950679612
random,7,5,177.84431245897278
random,7,6,173.0969117780428
random,7,7,173.05923482970516
random,7,8,228.05134585030672
random,7,9,179.90907563011936
