method,N,replication,obj_out_of_sample
is,5,0,231.65676895474954
is,5,1,227.68419147487944
is,5,2,295.9323178243434
is,5,3,209.21247997850216
is,5,4,202.8720658155992
is,5,5,269.91048513454393
is,5,6,234.38706192798003
is,5,7,255.631877452306
is,5,8,267.7244379152257
is,5,9,266.3118568642025
is,10,0,216.35905649973657
is,10,1,252.88195292418766
is,10,2,229.44045088713523
is,10,3,249.2776731367696
is,10,4,202.49780408151844
is,10,5,215.39986570261146
is,10,6,206.33269897109864
is,10,7,199.1676330962659
is,10,8,212.88319843881035
is,10,9,187.80211127728626
is,15,0,195.1111929740395
is,15,1,183.11024680071836
is,15,2,192.40696511341167
is,15,3,192.82506921142868
is,15,4,195.52598376416495
is,15,5,177.34146650799514
is,15,6,203.5790225886774
is,15,7,174.08209940911797
is,15,8,188.23305172900905
is,15,9,206.00561963943682
is,20,0,172.58333727825158
is,20,1,179.76485563688215
is,20,2,184.3678353208424
is,20,3,184.13521638562142
is,20,4,177.27905592239944
is,20,5,185.6163163763797
is,20,6,201.33019970188707
is,20,7,166.69376177358942
is,20,8,170.2430603000592
is,20,9,173.9056764134499
is,25,0,180.12045501261306
is,25,1,161.68079605738313
is,25,2,178.93656280919544
is,25,3,169.72017976432076
is,25,4,202.2302287561547
is,25,5,175.00645027656427
is,25,6,163.37642723887043
is,25,7,165.78479150000433
is,25,8,205.61114283691714
is,25,9,164.24020585393484
is,30,0,166.16609288104155
is,30,1,162.69596165811484
is,30,2,169.62166476608536
is,30,3,177.43242622214117
is,30,4,170.52914099373487
is,30,5,171.57131325620196
is,30,6,184.88036942463367
is,30,7,177.50475903444743
is,30,8,187.36464629268352
is,30,9,170.21795235244866
