method,N,replication,obj_out_of_sample
lhs,5,0,170.83599228105905
lhs,5,1,164.62527492223296
lhs,5,2,164.19025764061172
lhs,5,3,162.5580307462126
lhs,5,4,168.63832124619034
lhs,5,5,162.48929313586967
lhs,5,6,165.18816227911447
lhs,5,7,165.2556390386883
lhs,5,8,166.09331229284751
lhs,5,9,164.78116145496796
lhs,10,0,150.35911119329725
lhs,10,1,152.70426695214846
lhs,10,2,159.5573746703782
lhs,10,3,157.44776614956328
lhs,10,4,161.35641522149862
lhs,10,5,153.32501941836654
lhs,10,6,156.9946496811558
lhs,10,7,155.1135398267006
lhs,10,8,150.2896291390502
lhs,10,9,150.87028040519576
lhs,15,0,154.41263527533363
lhs,15,1,150.70962148611983
lhs,15,2,151.86794289673858
lhs,15,3,150.67107077947253
lhs,15,4,151.10507740830522
lhs,15,5,149.46293786824648
lhs,15,6,152.12416407395386
lhs,15,7,148.8256551318818
lhs,15,8,151.76654025392165
lhs,15,9,148.66477948321187
lhs,20,0,151.27205713745977
lhs,20,1,149.26918603037274
lhs,20,2,148.82319154810511
lhs,20,3,148.58550278474195
lhs,20,4,150.55447169041153
lhs,20,5,148.44897688305394
lhs,20,6,148.2130702934466
lhs,20,7,149.0956509542332
lhs,20,8,149.17639847476997
lhs,20,9,149.10132446485122
lhs,25,0,147.93286662689286
lhs,25,1,147.74182343442683
lhs,25,2,149.3194433005802
lhs,25,3,151.21087245225203
lhs,25,4,147.91102626766278
lhs,25,5,150.56034237906803
lhs,25,6,150.5829601781873
lhs,25,7,148.38829370357675
lhs,25,8,147.63610700246102
lhs,25,9,149.25914293226103
lhs,30,0,148.449435072012
lhs,30,1,147.05662615734434
lhs,30,2,147.26781083686618
lhs,30,3,147.50728841271115
lhs,30,4,148.02330758468668
lhs,30,5,147.84837330846287
lhs,30,6,147.0620285095529
lhs,30,7,148.33696512018014
lhs,30,8,148.4798642799116
lhs,30,9,146.89339145532287
