method,N,replication,obj_out_of_sample
random,1,0,364.22601395555057
random,1,1,400.8983262011865
random,1,2,360.0077476420024
random,1,3,310.17032981031787
random,1,4,341.58590240210816
random,1,5,304.6188648703651
random,1,6,437.4475903596293
random,1,7,427.9841677924699
random,1,8,501.6678092097666
random,1,9,338.49946732384626
random,4,0,195.21931642438068
random,4,1,210.07605257902645
random,4,2,212.9999865003284
random,4,3,204.3180653153561
random,4,4,245.41667546363985
random,4,5,231.56257429078423
random,4,6,212.63516648405712
random,4,7,229.5254822196467
random,4,8,221.6575251841077
random,4,9,184.80285027175947
random,5,0,192.01938724789352
random,5,1,189.81536896941594
random,5,2,178.18581876172786
random,5,3,193.8698982341722
random,5,4,186.08125298115485
random,5,5,192.99217225633922
random,5,6,215.68742854033366
random,5,7,206.6657125417933
random,5,8,177.1058737710023
random,5,9,196.85845488843228
random,7,0,188.9269975147208
random,7,1,186.51258670324984
random,7,2,191.62085230929927
random,7,3,197.8599462955522
random,7,4,174.15877950679612
random,7,5,177.84431245897278
random,7,6,173.0969117780428
random,7,7,173.05923482970516
random,7,8,228.05134585030672
random,7,9,179.9090756449313
random,10,0,164.53276332138634
random,10,1,178.82283736231363
random,10,2,182.1382669367776
random,10,3,165.54718168620036
random,10,4,184.8100878868046
random,10,5,170.01566304535388
random,10,6,164.26047647293538
random,10,7,173.45648954550717
random,10,8,174.246632944929
random,10,9,171.38117219030636
random,15,0,159.30076080569984
random,15,1,165.497513913903
random,15,2,162.3308399280926
random,15,3,165.32105039709282
random,15,4,167.05370786479057
random,15,5,165.67066819582757
random,15,6,171.24276058768046
random,15,7,158.76526147790744
random,15,8,154.9580602308377
random,15,9,166.1763327523816
random,20,0,157.01825970417227
random,20,1,156.465627722186
random,20,2,158.0988547200974
random,20,3,155.38935218981155
random,20,4,156.23423799526125
random,20,5,156.18041855300976
random,20,6,157.9555768489037
random,20,7,152.53146113144885
random,20,8,151.4394739070736
random,20,9,156.28752062589393
random,25,0,157.66158943782565
random,25,1,153.63003174214126
random,25,2,156.7113810649267
random,25,3,153.8867117087418
random,25,4,151.26558202601666
random,25,5,153.62987530546303
random,25,6,157.3598829182057
random,25,7,150.3347329049079
random,25,8,156.06745024080038
random,25,9,154.0475021247238
random,30,0,152.23271102298924
random,30,1,156.84266746059072
random,30,2,153.2809162117531
random,30,3,155.01834661499174
random,30,4,153.3058536547255
random,30,5,151.99097868227435
random,30,6,150.0686529630033
random,30,7,152.68005129947073
random,30,8,152.52001421912868
random,30,9,156.570073925966
