workload,step,ev_obj,saa_obj,ev_gap,saa_gap,eev,rp,vss,vss_pct,n_train,method,seed,is_k,n_prime,time_step1,time_step2,time_step3,mip_gap
4,1,6.014350454000305,185.2180146868819,0.0,0.0,244.404453566992,175.76496617299796,68.63948739399405,28.084384876063545,20,lhs,42,0.5,10000,60,60,300,0.05
4,2,6.013913515953821,142.19302320494367,0.0,0.0,229.21172681659814,151.8618009594519,77.34992585714625,33.746059563103046,20,lhs,42,0.5,10000,60,60,300,0.05
4,3,0.0,140.81831339266546,0.0,1.0000000000000935,223.3206258258116,147.4379836564046,75.88264216940698,33.97923585822067,20,lhs,42,0.5,10000,60,60,300,0.05
7,1,209.93503921200008,394.56875829657014,0.0,0.0,458.83683568135865,401.14971040041235,57.687125280946304,12.572470384877162,20,lhs,42,0.5,10000,60,60,300,0.05
7,2,209.93486983993776,358.93835715033083,0.0,3.3514870990715772e-12,455.3454088842516,380.7260788849157,74.61932999933589,16.387412400221226,20,lhs,42,0.5,10000,60,60,300,0.05
7,3,90.54356352399107,358.93835715033083,0.9999999999999354,0.9999999999998996,335.6684075430552,380.7260788849157,-45.0576713418605,-13.423268418872897,20,lhs,42,0.5,10000,60,60,300,0.05
10,1,3.324389951999911,157.1173907530322,0.0,6.332202257636771e-11,219.73037219474767,169.66139978898008,50.068972405767596,22.78655058272569,20,lhs,42,0.5,10000,60,60,300,0.05
10,2,3.3243886384708365,130.32487067845537,0.0,0.0,214.86755386636813,151.3764581188583,63.49109574750983,29.548945201375837,20,lhs,42,0.5,10000,60,60,300,0.05
10,3,0.0,130.3248706784554,0.0,0.9999999999996929,211.46259392509384,151.3764581188583,60.086135806235546,28.414545897190592,20,lhs,42,0.5,10000,60,60,300,0.05
13,1,200.0,351.99593755344864,0.0,0.0,411.6730415268372,355.0524032896561,56.62063823718108,13.753788207064307,20,lhs,42,0.5,10000,60,60,300,0.05
13,2,200.0,329.0340573425552,0.0,3.435129329033515e-11,418.7128229382571,348.0390220917549,70.67380084650222,16.878824094891332,20,lhs,42,0.5,10000,60,60,300,0.05
13,3,80.55011791799889,299.5388545915222,0.9999999999999302,0.9999999999999363,289.01131607228297,301.91327312411886,-12.901957051835893,-4.464170201767829,20,lhs,42,0.5,10000,60,60,300,0.05
